ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
80146-01-34-00,H1743-322,C,high,2.7739999999999996,17.4,10.4,20.3,"(0.005, 0.005)","(0.6, 0.7)","(0.5, 0.5)",361,7
80146-01-35-00,H1743-322,C,high,2.2640000000000002,14.6,17.9,23.1,"(0.006, 0.006)","(1.2, 1.1)","(1.0, 0.9)",362,7
80146-01-36-00,H1743-322,C,high,1.827,15.6,17.5,23.4,"(0.003, 0.003)","(0.6, 0.7)","(0.5, 0.6)",363,7
80146-01-37-00,H1743-322,C,high,1.899,15.8,16.7,23.0,"(0.003, 0.003)","(0.6, 0.7)","(0.5, 0.5)",364,7
80146-01-38-00,H1743-322,C,high,3.202,16.7,12.6,21.6,"(0.007, 0.007)","(0.8, 1.0)","(0.6, 0.7)",365,7
80146-01-39-00,H1743-322,C,high,2.134,16.9,15.9,23.2,"(0.003, 0.003)","(0.6, 0.7)","(0.5, 0.5)",366,7
80146-01-40-00,H1743-322,C,high,1.7009999999999998,20.3,14.9,25.2,"(0.004, 0.004)","(0.7, 0.8)","(0.5, 0.6)",367,7
80146-01-41-00,H1743-322,C,high,2.498,17.7,14.2,22.7,"(0.003, 0.003)","(0.6, 0.7)","(0.4, 0.5)",368,7
80146-01-42-00,H1743-322,C,high,3.2,17.5,11.7,21.0,"(0.004, 0.004)","(0.4, 0.5)","(0.3, 0.3)",369,7
80146-01-43-00,H1743-322,C,high,3.7689999999999997,14.4,15.5,21.1,"(0.007, 0.007)","(0.5, 0.5)","(0.5, 0.5)",370,7
80146-01-43-01,H1743-322,C,high,3.8110000000000004,13.7,14.6,20.0,"(0.009, 0.009)","(0.7, 0.8)","(0.5, 0.6)",371,7
80146-01-44-00,H1743-322,C,high,3.778,14.1,15.4,20.9,"(0.008, 0.008)","(0.9, 1.2)","(0.9, 1.0)",372,7
80146-01-45-00,H1743-322,C,high,3.6060000000000003,17.3,11.7,20.9,"(0.004, 0.004)","(0.5, 0.6)","(0.3, 0.4)",373,7
80146-01-46-00,H1743-322,C,high,4.63,12.5,16.0,20.3,"(0.009, 0.009)","(0.6, 0.7)","(0.6, 0.7)",374,7
80146-01-47-00,H1743-322,C,high,6.665,7.0,14.5,16.1,"(0.047, 0.047)","(0.6, 0.7)","(0.6, 0.7)",375,7
80146-01-50-00,H1743-322,C,high,9.44,2.5,9.6,9.9,"(0.017, 0.017)","(0.5, 0.4)","(0.5, 0.4)",376,7
90058-11-03-00,H1743-322,C,high,0.127,21.0,22.2,30.6,"(0.001, 0.001)","(1.1, 1.1)","(1.4, 1.6)",377,7
90058-16-05-00,H1743-322,C,high,0.106,6.7,40.5,41.0,"(0.001, 0.001)","(1.5, 1.6)","(1.5, 1.6)",378,7
90058-16-07-00,H1743-322,C,high,0.11900000000000001,7.5,40.6,41.3,"(0.002, 0.002)","(1.0, 1.1)","(1.0, 1.1)",379,7
91050-06-01-00,H1743-322,C,high,6.099,5.4,16.7,17.6,"(0.03, 0.03)","(0.5, 0.6)","(0.5, 0.6)",380,7
91428-01-02-01,H1743-322,C,high,4.078,8.2,12.7,21.3,"(0.031, 0.031)","(1.3, 1.3)","(1.2, 1.2)",381,7
91428-01-03-00,H1743-322,C,high,1.845,9.4,21.6,23.5,"(0.021, 0.022)","(1.5, 1.7)","(1.4, 1.6)",382,7
95108-01-01-00,XTE J1859+226,C,high,2.715,13.0,21.9,25.5,"(0.014, 0.014)","(0.5, 0.5)","(0.5, 0.5)",383,23
95108-01-02-00,XTE J1859+226,C,high,2.594,12.9,21.1,24.8,"(0.008, 0.008)","(1.0, 1.0)","(0.9, 0.9)",384,23
95108-01-03-00,XTE J1859+226,C,high,3.062,12.3,21.5,24.8,"(0.01, 0.01)","(0.3, 0.3)","(0.3, 0.3)",385,23
95108-01-04-00,XTE J1859+226,C,high,3.0639999999999996,13.6,18.9,23.3,"(0.012, 0.012)","(2.0, 2.6)","(1.7, 2.2)",386,23
95108-01-05-00,XTE J1859+226,C,high,3.332,12.1,18.8,22.3,"(0.015, 0.016)","(2.9, 3.9)","(2.4, 3.3)",387,23
95108-01-06-00,XTE J1859+226,C,high,4.593999999999999,12.6,19.8,23.5,"(0.011, 0.011)","(0.6, 0.6)","(0.5, 0.5)",388,23
95108-01-07-00,XTE J1859+226,C,high,4.408,13.9,17.5,22.3,"(0.013, 0.013)","(0.8, 0.8)","(0.6, 0.6)",389,23
95108-01-08-00,XTE J1859+226,C,high,4.852,10.3,18.0,20.7,"(0.01, 0.01)","(1.0, 1.1)","(0.8, 1.0)",390,23
95108-01-09-00,XTE J1859+226,C,high,4.745,10.2,17.3,20.1,"(0.015, 0.015)","(1.9, 2.3)","(1.6, 2.0)",391,23
95108-01-10-00,XTE J1859+226,C,high,4.883,9.0,16.9,19.2,"(0.016, 0.016)","(0.9, 1.0)","(0.8, 0.9)",392,23
95108-01-11-00,XTE J1859+226,C,high,4.637,11.8,20.9,24.0,"(0.011, 0.011)","(0.7, 0.8)","(0.6, 0.7)",393,23
95108-01-12-00,XTE J1859+226,C,high,4.7989999999999995,12.0,19.6,23.0,"(0.013, 0.013)","(0.8, 0.8)","(0.7, 0.7)",394,23
95108-01-13-00,XTE J1859+226,C,high,6.172999999999999,8.3,19.7,21.3,"(0.026, 0.026)","(0.5, 0.5)","(0.5, 0.5)",395,23
95108-01-14-00,XTE J1859+226,C,high,5.021,10.3,22.6,24.8,"(0.018, 0.018)","(0.6, 0.5)","(0.6, 0.5)",396,23
95108-01-15-00,XTE J1859+226,C,high,5.0969999999999995,10.8,21.4,23.9,"(0.011, 0.011)","(0.5, 0.5)","(0.4, 0.4)",397,23
95108-01-16-00,XTE J1859+226,C,high,6.035,7.6,16.2,17.9,"(0.018, 0.019)","(1.4, 1.6)","(1.2, 1.5)",398,23
95108-01-17-00,XTE J1859+226,C,high,7.023,4.8,16.1,16.8,"(0.041, 0.041)","(0.4, 0.4)","(0.4, 0.4)",399,23
95108-01-18-01,XTE J1859+226,C,high,7.308,4.7,15.2,15.9,"(0.092, 0.092)","(1.1, 1.0)","(1.1, 1.0)",400,23
95118-01-19-00,XTE J1859+226,C,high,2.1830000000000003,16.2,24.3,33.1,"(0.011, 0.011)","(3.4, 2.1)","(2.5, 1.6)",401,23
95108-01-20-00,XTE J1859+226,C,high,6.545,5.8,18.1,19.0,"(0.043, 0.043)","(0.7, 0.7)","(0.7, 0.7)",402,23
95108-01-21-00,XTE J1859+226,C,high,7.284,3.0,13.6,13.9,"(0.083, 0.083)","(0.4, 0.3)","(0.3, 0.3)",403,23
95108-01-22-00,XTE J1859+226,C,high,6.3260000000000005,5.8,18.9,19.8,"(0.019, 0.019)","(0.3, 0.3)","(0.3, 0.3)",404,23
95108-01-23-00,XTE J1859+226,C,high,5.34,9.5,19.8,22.0,"(0.015, 0.015)","(1.2, 1.0)","(1.0, 1.0)",405,23
95108-01-24-00,XTE J1859+226,C,high,6.01,7.4,19.8,21.1,"(0.014, 0.014)","(0.6, 0.6)","(0.6, 0.6)",406,23
95108-01-25-00,XTE J1859+226,C,high,5.822,6.2,19.6,20.6,"(0.019, 0.019)","(0.4, 0.4)","(0.4, 0.4)",407,23
95108-01-26-00,XTE J1859+226,C,high,6.672000000000001,5.4,19.0,19.8,"(0.024, 0.024)","(0.4, 0.4)","(0.4, 0.4)",408,23
95108-01-30-00,XTE J1859+226,C,high,6.005,5.8,18.6,19.5,"(0.022, 0.022)","(0.8, 0.7)","(0.7, 0.6)",409,23
95118-01-01-00,XTE J1859+226,C,high,6.859,4.6,17.2,17.8,"(0.03, 0.03)","(1.4, 1.3)","(1.3, 1.3)",410,23
95118-01-16-01,XTE J1859+226,C,high,5.944,6.2,15.8,16.9,"(0.041, 0.041)","(1.2, 1.5)","(1.2, 1.4)",411,23
95118-01-17-00,XTE J1859+226,C,high,4.775,9.2,17.9,20.2,"(0.022, 0.023)","(1.1, 1.2)","(1.0, 1.1)",412,23
95118-01-17-01,XTE J1859+226,C,high,3.363,12.2,28.1,30.6,"(0.022, 0.022)","(0.7, 0.7)","(0.7, 0.6)",413,23
95118-01-18-00,XTE J1859+226,C,high,2.549,11.4,26.3,28.7,"(0.023, 0.023)","(2.0, 2.5)","(1.9, 2.4)",414,23
95118-01-19-00,XTE J1859+226,C,high,2.1830000000000003,16.2,28.9,33.1,"(0.011, 0.011)","(2.9, 1.8)","(2.5, 1.6)",415,23
95118-01-20-00,XTE J1859+226,C,high,2.0469999999999997,12.1,32.2,34.4,"(0.017, 0.017)","(0.7, 0.7)","(0.7, 0.7)",416,23
95118-01-21-00,XTE J1859+226,C,high,1.624,13.2,30.2,33.0,"(0.015, 0.015)","(1.7, 1.8)","(1.6, 1.6)",417,23
95358-01-02-00,XTE J1859+226,C,high,1.6469999999999998,13.8,21.0,25.1,"(0.003, 0.003)","(0.8, 0.8)","(0.7, 0.7)",418,23
95358-01-02-01,XTE J1859+226,C,high,2.263,11.6,23.6,26.3,"(0.008, 0.008)","(0.3, 0.3)","(0.3, 0.3)",419,23
95358-01-02-02,XTE J1859+226,C,high,2.737,11.2,22.1,24.8,"(0.01, 0.01)","(0.4, 0.4)","(0.4, 0.4)",420,23
95358-01-03-00,XTE J1859+226,C,high,2.792,13.0,20.1,23.9,"(0.007, 0.007)","(1.1, 1.2)","(1.0, 1.1)",421,23
95358-01-03-01,XTE J1859+226,C,high,3.197,11.1,21.7,24.4,"(0.01, 0.01)","(0.3, 0.3)","(0.3, 0.3)",422,23
30171-02-01-00,XTE J1748-288,C,high,31.555,3.3,6.1,10.2,"(0.128, 0.13)","(0.6, 0.7)","(0.5, 0.6)",423,6
30185-01-01-00,XTE J1748-288,C,high,31.401,3.3,7.0,10.4,"(0.102, 0.103)","(0.4, 0.3)","(0.4, 0.3)",424,6
30185-01-02-00,XTE J1748-288,C,high,23.651999999999997,4.2,14.9,16.3,"(0.092, 0.087)","(2.4, 2.1)","(2.2, 2.0)",425,6
30185-01-03-00,XTE J1748-288,C,high,20.053,8.0,9.8,14.8,"(0.042, 0.042)","(0.8, 0.8)","(0.8, 1.4)",426,6
30185-01-04-00,XTE J1748-288,C,high,19.872,8.6,13.7,17.6,"(0.059, 0.058)","(1.4, 1.3)","(1.1, 1.1)",427,6
30185-01-05-00,XTE J1748-288,C,high,22.819000000000003,7.1,12.8,14.6,"(0.13, 0.13)","(0.8, 0.8)","(0.7, 0.7)",428,6
30188-05-01-00,XTE J1748-288,C,high,17.157,9.8,14.7,17.7,"(0.047, 0.047)","(0.6, 0.5)","(0.5, 0.5)",429,6
70133-01-11-00,4U 1543-47,B,low,7.726,8.9,5.4,10.4,"(0.037, 0.04)","(0.2, 0.2)","(0.3, 0.3)",430,24
70133-01-15-00,4U 1543-47,B,low,8.015,7.6,11.2,13.5,"(0.03, 0.03)","(0.3, 0.4)","(0.3, 0.3)",431,24
70133-01-16-00,4U 1543-47,B,low,7.5089999999999995,9.2,8.2,12.3,"(0.069, 0.079)","(0.5, 0.5)","(0.4, 0.4)",432,24
60113-01-15-00,XTE J1650-500,B,low,1.548,5.2,2.8,8.7,"(0.017, 0.017)","(0.3, 0.3)","(0.5, 0.5)",433,17
60705-01-84-02,GX 339-4,B,low,5.172000000000001,8.4,11.9,14.6,"(0.028, 0.028)","(1.1, 1.1)","(0.9, 0.9)",434,5
70108-03-02-00,GX 339-4,B,low,5.611000000000001,3.2,3.6,4.8,"(0.044, 0.039)","(0.2, 0.2)","(0.2, 0.2)",435,5
70109-01-07-00,GX 339-4,B,low,5.641,5.7,4.0,7.0,"(0.01, 0.011)","(0.1, 0.1)","(0.2, 0.2)",436,5
70110-01-14-00,GX 339-4,B,low,6.44,5.4,11.5,12.7,"(0.026, 0.027)","(0.4, 0.4)","(0.3, 0.3)",437,5
70110-01-15-00,GX 339-4,B,low,5.801,7.7,7.0,10.4,"(0.015, 0.015)","(0.8, 0.2)","(0.6, 0.2)",438,5
70110-01-47-00,GX 339-4,B,low,5.749,3.6,4.6,5.8,"(0.016, 0.016)","(0.4, 0.4)","(0.4, 0.4)",439,5
70110-01-89-00,GX 339-4,B,low,0.8959999999999999,6.8,13.3,14.9,"(0.017, 0.017)","(2.7, 3.9)","(2.4, 3.5)",440,5
90110-02-01-03,GX 339-4,B,low,4.248,8.9,2.6,9.3,"(0.03, 0.031)","(0.2, 0.2)","(0.4, 0.4)",441,5
90704-01-02-00,GX 339-4,B,low,4.209,9.0,8.2,9.0,"(0.01, 0.01)","(0.1, 0.1)","(0.2, 0.2)",442,5
92035-01-04-00,GX 339-4,B,low,6.7860000000000005,5.6,10.6,12.6,"(0.033, 0.034)","(0.4, 0.4)","(0.4, 0.5)",443,5
92085-01-03-01,GX 339-4,B,low,8.797,5.9,4.8,17.5,"(0.204, 0.185)","(1.9, 0.8)","(2.5, 1.3)",444,5
92704-03-10-11,GX 339-4,B,low,1.65,3.0,9.4,9.4,"(0.04, 0.04)","(0.6, 0.7)","(0.6, 0.7)",445,5
95409-01-15-02,GX 339-4,B,low,5.732,7.1,4.1,9.6,"(0.015, 0.015)","(0.2, 0.2)","(0.8, 0.8)",446,5
95409-01-15-06,GX 339-4,B,low,5.609,6.6,3.9,10.1,"(0.012, 0.012)","(0.3, 0.2)","(0.7, 2.2)",447,5
95409-01-16-05,GX 339-4,B,low,6.069,6.3,12.8,14.3,"(0.031, 0.033)","(0.3, 0.3)","(0.3, 0.3)",448,5
95409-01-17-00,GX 339-4,B,low,5.733,5.7,13.0,14.2,"(0.027, 0.027)","(0.6, 0.6)","(0.6, 0.6)",449,5
95409-01-17-05,GX 339-4,B,low,5.386,7.1,3.1,8.9,"(0.019, 0.019)","(0.2, 0.2)","(0.4, 0.5)",450,5
95409-01-17-06,GX 339-4,B,low,5.062,6.9,2.6,10.2,"(0.016, 0.016)","(0.4, 0.4)","(2.2, 1.7)",451,5
95409-01-18-00,GX 339-4,B,low,5.591,7.9,4.8,9.2,"(0.036, 0.036)","(0.3, 0.4)","(0.4, 0.4)",452,5
95409-01-18-05,GX 339-4,B,low,4.91,7.0,0.0,7.0,"(0.02, 0.02)","(0,0)","(0.2, 0.2)",453,5
95409-01-19-00,GX 339-4,B,low,4.697,6.2,0.0,6.2,"(0.018, 0.018)","(0,0)","(0.2, 0.2)",454,5
96409-01-04-04,GX 339-4,B,low,1.995,8.1,5.5,9.8,"(0.036, 0.036)","(1.0, 1.3)","(0.7, 0.8)",455,5
96409-01-05-02,GX 339-4,B,low,1.72,8.8,0.0,8.8,"(0.039, 0.039)","(0,0)","(0.7, 0.8)",456,5
95360-01-01-00,XTE J1752-3223,B,low,3.511,7.1,5.7,9.1,"(0.011, 0.011)","(0.4, 0.4)","(0.3, 0.3)",457,13
95360-01-01-02,XTE J1752-3223,B,low,4.118,4.1,7.2,7.2,"(0.313, 0.284)","(0.6, 0.7)","(0.6, 0.7)",458,13
91110-02-05-00,XTE J1118+480,B,low,5.439,2.9,3.5,4.5,"(0.025, 0.025)","(0.1, 0.1)","(0.1, 0.1)",459,12
91110-02-07-00,XTE J1118+480,B,low,5.4270000000000005,2.9,3.5,4.5,"(0.015, 0.015)","(0.1, 0.1)","(0.1, 0.1)",460,12
91110-02-17-00,XTE J1118+480,B,low,4.8580000000000005,2.4,2.4,3.4,"(0.068, 0.066)","(0.1, 0.1)","(0.1, 0.1)",461,12
91110-02-18-00,XTE J1118+480,B,low,5.06,3.0,3.0,4.2,"(0.034, 0.034)","(0.2, 0.3)","(0.2, 0.2)",462,12
91110-02-24-00,XTE J1118+480,B,low,5.327999999999999,2.5,3.7,4.4,"(0.047, 0.047)","(0.2, 0.3)","(0.2, 0.2)",463,12
91110-02-29-00,XTE J1118+480,B,low,5.682,8.4,6.4,10.6,"(0.031, 0.036)","(0.3, 0.4)","(0.3, 0.4)",464,12
91110-02-30-00,XTE J1118+480,B,low,5.614,7.8,7.1,10.5,"(0.013, 0.013)","(0.2, 0.2)","(0.2, 0.2)",465,12
92082-01-02-03,XTE J1118+480,B,low,4.8469999999999995,6.8,2.3,7.2,"(0.013, 0.013)","(0.1, 0.1)","(0.2, 0.2)",466,12
92082-01-02-04,XTE J1118+480,B,low,4.977,7.6,4.5,8.8,"(0.016, 0.016)","(0.5, 0.6)","(0.4, 0.5)",467,12
40122-01-01-00,XTE 1859+226,B,intermediate,6.032,3.2,2.7,7.8,"(0.015, 0.015)","(0.2, 0.2)","(0.2, 0.2)",468,19
40122-01-01-02,XTE 1859+226,B,intermediate,6.047000000000001,3.6,3.0,8.2,"(0.018, 0.018)","(0.1, 0.1)","(0.2, 0.2)",469,19
40122-01-01-03,XTE 1859+226,B,intermediate,6.117000000000001,3.7,3.4,8.9,"(0.017, 0.018)","(0.1, 0.2)","(0.2, 0.2)",470,19
40124-01-13-00,XTE 1859+226,B,intermediate,6.102,3.1,3.1,7.7,"(0.012, 0.012)","(0.1, 0.1)","(0.7, 0.5)",471,19
40124-01-14-00,XTE 1859+226,B,intermediate,6.345,3.6,6.2,10.5,"(0.054, 0.054)","(0.6, 0.6)","(0.7, 0.7)",472,19
40124-01-24-00,XTE 1859+226,B,intermediate,5.815,4.6,4.7,10.5,"(0.0156, 0.0156)","(0.1, 0.1)","(0.6, 0.3)",473,19
40124-01-27-00,XTE 1859+226,B,intermediate,5.476,4.9,6.3,11.7,"(0.037, 0.038)","(0.4, 0.4)","(0.5, 0.5)",474,19
40124-01-30-00,XTE 1859+226,B,intermediate,5.031000000000001,5.0,2.2,8.7,"(0.016, 0.016)","(0.1, 0.2)","(0.3, 0.3)",475,19
40124-01-36-00,XTE 1859+226,B,intermediate,4.7410000000000005,5.6,1.8,8.9,"(0.015, 0.01)","(0.1, 0.1)","(0.3, 0.3)",476,19
40124-01-37-00,XTE 1859+226,B,intermediate,4.822,5.2,1.9,5.6,"(0.025, 0.025)","(0.1, 0.1)","(0.2, 0.2)",477,19
40124-01-37-01,XTE 1859+226,B,intermediate,4.542,5.3,1.6,5.5,"(0.01, 0.01)","(0.1, 0.1)","(0.1, 0.1)",478,19
40124-01-37-02,XTE 1859+226,B,intermediate,4.455,4.2,1.7,8.5,"(0.006, 0.006)","(0.1, 0.1)","(0.5, 0.4)",479,19
40124-01-39-00,XTE 1859+226,B,intermediate,5.687,4.0,1.8,7.1,"(0.063, 0.063)","(0.2, 0.2)","(0.5, 0.5)",480,19
40124-01-40-00,XTE 1859+226,B,intermediate,5.292000000000001,3.5,0.0,3.5,"(0.085, 0.085)","(0,0)","(0.2, 0.2)",481,19
40124-01-40-01,XTE 1859+226,B,intermediate,5.244,3.6,0.0,8.5,"(0.067, 0.066)","(0,0)","(1.0, 1.0)",482,19
40124-01-41-00,XTE 1859+226,B,intermediate,4.744,2.3,2.7,3.5,"(0.047, 0.047)","(0.1, 0.1)","(0.1, 0.1)",483,19
40124-01-42-00,XTE 1859+226,B,intermediate,11.632,2.5,4.3,4.3,"(0.694, 0.694)","(0.3, 0.3)","(0.3, 0.3)",484,19
40124-01-49-01,XTE 1859+226,B,intermediate,5.202000000000001,3.2,3.3,4.6,"(0.08, 0.078)","(0.7, 0.7)","(0.5, 0.5)",485,19
40124-01-61-00,XTE 1859+226,B,intermediate,4.585,2.9,1.8,3.4,"(0.112, 0.106)","(0.2, 0.2)","(0.2, 0.2)",486,19
30191-01-32-00,XTE J1550-564,B,high,5.403,4.5,2.3,9.0,"(0.034, 0.034)","(0.2, 0.3)","(0.2, 0.2)",487,21
30191-01-34-01,XTE J1550-564,B,high,4.913,4.3,1.7,8.4,"(0.009, 0.009)","(0.1, 0.1)","(0.3, 0.3)",488,21
30191-01-41-00,XTE J1550-564,B,high,10.290999999999999,1.5,3.8,4.1,"(0.28, 0.28)","(0.1, 0.1)","(0.1, 0.1)",489,21
40401-01-50-00,XTE J1550-564,B,high,5.87,4.2,3.0,7.7,"(0.024, 0.024)","(0.1, 0.1)","(0.1, 0.1)",490,21
40401-01-51-00,XTE J1550-564,B,high,5.649,4.1,2.6,8.1,"(0.067, 0.067)","(0.1, 0.1)","(0.2, 0.2)",491,21
40401-01-51-01,XTE J1550-564,B,high,5.7410000000000005,4.2,2.8,9.1,"(0.02, 0.02)","(0.2, 0.2)","(0.2, 0.3)",492,21
40401-01-53-00,XTE J1550-564,B,high,6.332999999999999,4.2,3.9,10.0,"(0.009, 0.009)","(0.1, 0.2)","(0.2, 0.3)",493,21
40401-01-55-00,XTE J1550-564,B,high,6.138999999999999,4.4,3.9,9.6,"(0.009, 0.009)","(0.2, 0.2)","(0.1, 0.1)",494,21
40401-01-56-00,XTE J1550-564,B,high,6.276,5.0,3.6,11.2,"(0.034, 0.035)","(0.2, 0.2)","(0.3, 0.3)",495,21
40401-01-56-01,XTE J1550-564,B,high,6.277,4.9,0.0,4.9,"(0.054, 0.054)","(0,0)","(0.2, 0.2)",496,21
40401-01-58-00,XTE J1550-564,B,high,5.672999999999999,5.2,2.4,10.0,"(0.045, 0.045)","(0.1, 0.1)","(0.3, 0.4)",497,21
40401-01-58-01,XTE J1550-564,B,high,3.11,4.9,9.3,13.9,"(0.02, 0.02)","(0.3, 0.3)","(0.2, 0.2)",498,21
40401-01-59-01,XTE J1550-564,B,high,5.757000000000001,3.9,0.8,8.2,"(0.104, 0.108)","(0.1, 0.2)","(0.4, 0.4)",499,21
40401-01-61-00,XTE J1550-564,B,high,5.486000000000001,3.9,0.0,7.5,"(0.099, 0.097)","(0,0)","(0.4, 0.4)",500,21
40401-01-61-01,XTE J1550-564,B,high,9.142000000000001,3.5,0.0,8.4,"(0.67, 0.67)","(0,0)","(1.0, 1.0)",501,21
50134-01-02-00,XTE J1550-564,B,high,3.58,8.9,3.7,13.4,"(0.013, 0.013)","(0.2, 0.2)","(0.7, 0.7)",502,21
50134-02-02-00,XTE J1550-564,B,high,4.421,6.7,3.9,10.2,"(0.012, 0.012)","(0.1, 0.1)","(0.3, 0.3)",503,21
30191-01-02-00,XTE J1550-564,B,high,4.94,0.3,7.1,7.2,"(0.028, 0.028)","(0.0, 0.0)","(0.0, 0.0)",504,21
70417-01-09-00,4U 1630-47,B,high,4.651,1.0,3.7,9.4,"(0.16, 0.16)","(0.1, 0.1)","(0.4, 0.4)",505,20
80117-01-05-00,4U 1630-47,B,high,4.663,2.2,11.1,13.4,"(0.058, 0.058)","(0.4, 0.4)","(0.4, 0.4)",506,20
80117-01-07-01,4U 1630-47,B,high,4.628,0.9,5.3,9.5,"(0.027, 0.028)","(0.2, 0.2)","(0.4, 0.4)",507,20
80117-01-07-02,4U 1630-47,B,high,4.532,0.8,8.5,8.8,"(0.021, 0.021)","(0.3, 0.3)","(0.2, 0.2)",508,20
80117-01-10-00,4U 1630-47,B,high,4.547,0.9,5.1,9.6,"(0.039, 0.038)","(0.2, 0.2)","(0.3, 0.3)",509,20
80417-01-01-00,4U 1630-47,B,high,4.835,1.7,11.4,13.6,"(0.063, 0.063)","(0.2, 0.2)","(0.3, 0.3)",510,20
10255-01-05-00,GRO J1655-40,B,high,10.635,1.7,6.2,6.6,"(0.085, 0.084)","(0.1, 0.1)","(0.1, 0.1)",511,1
10255-01-08-00,GRO J1655-40,B,high,9.221,1.6,4.6,8.1,"(0.114, 0.112)","(0.1, 0.1)","(0.1, 0.1)",512,1
91702-01-02-00G,GRO J1655-40,B,high,6.442,7.1,8.3,11.0,"(0.061, 0.061)","(0.4, 0.5)","(0.5, 0.5)",513,1
91702-01-58-00,GRO J1655-40,B,high,6.792999999999999,0.9,7.7,10.3,"(0.032, 0.032)","(0.5, 0.5)","(0.3, 0.4)",514,1
80135-02-02-00,H 1743-322,B,high,5.349,4.4,8.8,9.8,"(0.049, 0.04)","(0.4, 1.3)","(0.4, 1.1)",515,16
80135-02-02-000,H 1743-322,B,high,5.438,4.9,8.5,9.8,"(0.012, 0.012)","(0.4, 0.3)","(0.4, 0.2)",516,16
80135-02-02-01,H 1743-322,B,high,4.738,4.7,6.2,7.8,"(0.021, 0.021)","(0.2, 0.2)","(0.2, 0.2)",517,16
80144-01-01-00,H 1743-322,B,high,5.073,5.0,11.2,12.3,"(0.07, 0.071)","(0.4, 0.5)","(0.4, 0.5)",518,16
80144-01-01-01,H 1743-322,B,high,5.42,4.4,8.4,9.5,"(0.039, 0.039)","(0.3, 0.3)","(0.3, 0.3)",519,16
80144-01-01-02,H 1743-322,B,high,5.455,4.9,9.4,10.6,"(0.053, 0.051)","(0.4, 0.4)","(0.4, 0.4)",520,16
80144-01-02-00,H 1743-322,B,high,5.231,4.1,6.9,8.0,"(0.027, 0.027)","(0.2, 0.2)","(0.2, 0.2)",521,16
80144-01-02-01,H 1743-322,B,high,5.57,3.6,9.4,10.1,"(0.044, 0.044)","(0.3, 0.3)","(0.3, 0.3)",522,16
80144-01-03-01,H 1743-322,B,high,4.963,4.5,6.9,8.2,"(0.027, 0.027)","(0.3, 0.3)","(0.3, 0.3)",523,16
80146-01-11-00,H 1743-322,B,high,5.528,6.8,13.9,15.5,"(0.032, 0.032)","(0.4, 0.4)","(0.4, 0.4)",524,16
80146-01-12-00,H 1743-322,B,high,5.787000000000001,5.5,13.5,14.6,"(0.038, 0.038)","(0.4, 0.4)","(0.4, 0.4)",525,16
80146-01-15-00,H 1743-322,B,high,5.178999999999999,7.5,12.9,14.9,"(0.068, 0.068)","(0.8, 0.9)","(0.7, 0.8)",526,16
80146-01-16-00,H 1743-322,B,high,4.492,2.3,13.4,13.6,"(0.036, 0.035)","(0.5, 0.5)","(0.5, 0.5)",527,16
80146-01-26-00,H 1743-322,B,high,5.106,4.2,9.6,10.4,"(0.034, 0.034)","(0.3, 0.4)","(0.3, 0.4)",528,16
80146-01-27-00,H 1743-322,B,high,5.277,3.7,8.8,9.5,"(0.017, 0.017)","(0.2, 0.2)","(0.2, 0.2)",529,16
80146-01-48-00,H 1743-322,B,high,5.399,5.1,9.3,10.6,"(0.027, 0.027)","(0.2, 0.2)","(0.2, 0.2)",530,16
80146-01-49-00,H 1743-322,B,high,5.252999999999999,5.1,9.9,11.1,"(0.032, 0.031)","(0.5, 0.5)","(0.5, 0.5)",531,16
80146-01-51-00,H 1743-322,B,high,4.5569999999999995,2.9,9.0,9.5,"(0.021, 0.021)","(0.2, 0.2)","(0.2, 0.2)",532,16
80146-01-51-01,H 1743-322,B,high,4.221,2.2,8.6,8.6,"(0.053, 0.05)","(0.2, 0.2)","(0.2, 0.2)",533,16
80146-01-52-00,H 1743-322,B,high,5.1370000000000005,3.9,7.4,8.3,"(0.016, 0.016)","(0.1, 0.1)","(0.1, 0.1)",534,16
80146-01-52-01,H 1743-322,B,high,5.077,5.1,6.4,8.1,"(0.019, 0.019)","(0.1, 0.1)","(0.1, 0.1)",535,16
80146-01-53-00,H 1743-322,B,high,4.931,4.9,7.0,8.5,"(0.021, 0.021)","(0.2, 0.2)","(0.2, 0.2)",536,16
80146-01-53-01,H 1743-322,B,high,5.082,4.6,6.3,7.8,"(0.04, 0.04)","(0.3, 0.3)","(0.3, 0.3)",537,16
80146-01-54-00,H 1743-322,B,high,4.853,3.8,9.2,9.9,"(0.016, 0.016)","(0.3, 0.3)","(0.3, 0.3)",538,16
80146-01-55-00,H 1743-322,B,high,5.172999999999999,4.1,6.8,7.9,"(0.02, 0.02)","(0.2, 0.2)","(0.2, 0.2)",539,16
80146-01-56-00,H 1743-322,B,high,4.861000000000001,4.8,5.9,7.6,"(0.018, 0.018)","(0.2, 0.2)","(0.1, 0.1)",540,16
80146-01-58-00,H 1743-322,B,high,3.864,2.1,7.2,7.5,"(0.044, 0.044)","(0.1, 0.1)","(0.1, 0.1)",541,16
80146-01-59-00,H 1743-322,B,high,4.9910000000000005,5.4,5.4,7.7,"(0.04, 0.04)","(0.5, 0.7)","(0.4, 0.5)",542,16
